@DanielFederal twitterhandle
15 15
de de
NOVEMBRO novembro
: :
Pela por_o
liberdade liberdade
dos de_o
presos preso
políticos político
e e
pela por_o
liberdade liberdade
de de
expressão expressão
double_exclamation_mark_e double_exclamation_mark_e
Volta volta
às a_o
ruas rua
Brasil brasil
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
flag_brazil_e flag_brazil_e
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
rompeu romper
a a
Democracia democracia
pouting_face_e pouting_face_e
url url
