Estes este
não não
vão ir
as o
ruas rua
dia dia
07 @card@
lutar lutar
pela por_o
liberdade liberdade
, ,
pois pois
acham achar
que que
a o
luta luta
é ser
por por
Bolsonaro bolsonaro
Assim assim
esquecem esquecer
que que
a o
Liberdade liberdade
deles de_eles
e e
de de
seus seu
filhos filho
estão estar
em em
risco risco
downcast_face_with_sweat_e downcast_face_with_sweat_e
HASHTAG hashtag
#7desetembrovaisergrande_h #7desetembrovaisergrande_h
HASHTAG hashtag
#aceitapacheco_h #aceitapacheco_h
HASHTAG hashtag
#dia07vaisergigante_h #dia07vaisergigante_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
