Estamos estar
vivendo viver
novamente novamente
a o
volta volta
da de_o
censura censura
no em_o
Brasil brasil
. .
Cercear cercear
o o
meios meio
de de
comunicação comunicação
é ser
o o
primeiro primeiro
ato ato
de de
Ditaduras ditadura
. .
Quem quem
braveja braveja
democracia democracia
ao a_o
4 4
ventos vento
na em_o
verdade verdade
deseja desejar
o o
contrário contrário
. .
HASHTAG hashtag
#naoacensuradopt_h #naoacensuradopt_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
