É ser
muito muito
sério sério
o o
que que
o o
TSE tse
está estar
fazendo fazer
no em_o
Brasil brasil
. .
Censurar censurar
meios meio
de de
comunicação comunicação
como como
o o
@brasilparalelo twitterhandle
, ,
castrando castrar
a o
liberdade liberdade
de de
expressão expressão
e e
claramente claramente
, ,
favorecendo favorecer
um um
lado lado
. .
Pergunto perguntar
a a
vocês você
, ,
ainda ainda
vivemos vivar
em em
uma um
democracia democracia
? ?
HASHTAG hashtag
#brasilparalelo_h #brasilparalelo_h
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
