@gilmarmendes twitterhandle
Falou falar
… …
aqueles aquele
que que
deveriam dever
defender defender
a o
democracia democracia
estão estar
Cerceando cercear
a o
liberdade liberdade
de de
expressão expressão
do de_o
povo povo
. .
Faça fazer
-me eu
o o
favor favor
não não
fale falar
daquilo de_aquilo
que que
vc vc
não não
vive viver
HASHTAG hashtag
#demagogianao_h #demagogianao_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#tserompeuademocradia_h #tserompeuademocradia_h
