@Zambelli2210 twitterhandle
Basta bastar
uma um
olhada olhado
em em
livros livro
de de
Filosofia filosofia
do de_o
Direito direito
para para
concluir concluir
que que
foi ser
uma um
das de_o
maiores grande
aberrações aberração
contra contra
a o
liberdade liberdade
de de
expressão expressão
já já
cometidas cometer
por por
um um
integrante integrante
do de_o
stf stf
( (
grafia grafia
em em
letras letra
minúsculas minúsculo
, ,
por por
não não
ser ser
digno digno
do de_o
meu meu
respeito respeito
) )
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#esquerdacriminosa_h #esquerdacriminosa_h
