@STF_oficial twitterhandle
Ministro ministro
Fux fux
disse dizer
" "
ninguém ninguém
fechará fechar
esta este
Corte corte
" "
. .
E e
quem quem
disse dizer
em em
fechar fechar
o o
Supremo supremo
? ?
O o
povo povo
apenas apenas
pede pedir
que que
não não
hajam haver
mais muito
decisões decisão
inconstitucionais inconstitucional
e e
abusos abuso
contra contra
a o
liberdade liberdade
de de
expressão expressão
. .
É ser
assim assim
que que
as o
narrativas narrativo
são ser
alimentadas alimentar
! !
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
