@Estadao twitterhandle
Conta contar
aí aí
que que
acharam achar
com com
ele ele
brochinho brochinho
do de_o
che che
guevara guevara
e e
" "
eu eu
sou ser
antifascista antifascista
" "
, ,
conta contar
, ,
produtores produtor
de de
FAKE fake
NEWS news
? ?
? ?
HASHTAG hashtag
#setedesetembro_h #setedesetembro_h
HASHTAG hashtag
#liberdade_h #liberdade_h
HASHTAG hashtag
#tocontigobolsonaro_h #tocontigobolsonaro_h
HASHTAG hashtag
#brasilia_h #brasilia_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
