Não não
existe existir
meio meio
mais mais
democrático democrático
que que
a o
liberdade liberdade
de de
expressão expressão
feita fazer
pela por_o
esquerda esquerda
chamam chamar
o o
presidente presidente
de de
genocida genocida
pedófilo pedófilo
e e
tá estar
tudo tudo
bem bem
Agora agora
chame chamar
um um
esquerdista esquerdista
de de
jaguara jaguara
pra pra
tu tu
ver ver
HASHTAG hashtag
#tsevergonhanacional_h #tsevergonhanacional_h
HASHTAG hashtag
#censuranao_h #censuranao_h
@SF_Moro twitterhandle
@jairbolsonaro twitterhandle
