Defenderei defender
essa esse
TAG tag
até até
a o
sua seu
prisão prisão
. .
Será ser
por por
uma um
boa bom
causa causa
. .
O o
senhor senhor
é ser
apenas apenas
um um
indicado indicar
de de
ex ex
presidente presidente
. .
Não não
lhe ele
cabe caber
o o
direito direito
de de
usurpar usurpar
a o
liberdade liberdade
de de
expressão expressão
de de
quem quem
que que
que que
seja ser
. .
Julga julgar
e e
condena condenar
seus seu
" "
algozes algoz
" "
. .
O o
sr sr
. .
é ser
criminoso criminoso
. .
Prenda prender
-me eu
! !
HASHTAG hashtag
#alexandredemoraesnacadeia_h #alexandredemoraesnacadeia_h
