Enquanto enquanto
os o
ministros ministro
da de_o
suprema supremo
corte corte
estão estar
se se
ocupando ocupar
com com
decisões decisão
que que
impactam impactar
na em_o
liberdade liberdade
de de
expressão expressão
( (
prevista prever
na em_o
constituição constituição
) )
, ,
pessoas pessoa
MORREM morrer
aguardando aguardar
decisões decisão
do de_o
@STF_oficial twitterhandle
. .
HASHTAG hashtag
#telegram_h #telegram_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#stfnãomerepresenta_h #stfnãomerepresenta_h
url url
