@SigaGazetaBR twitterhandle
Pelo por_o
que que
sei saber
sei saber
, ,
a o
Lei lei
brasileira brasileiro
permite permitir
a o
livre livre
expressão expressão
do de_o
pensamento pensamento
. .
Quem quem
se se
expressar expressar
e e
cometer cometer
abusos abuso
( (
código código
penal penal
Art art
. .
138 138
, ,
139 @card@
e e
140 140
) )
devem dever
responder responder
posteriormente posteriormente
. .
Não não
existe existir
crime crime
futuro futuro
. .
Declaração declaração
Universal universal
dos de_o
Direitos direitos
Humanos humanos
( (
ONU onu
) )
, ,
Art art
. .
19 19
. .
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
