São ser
10 10
togados togado
mandando mandar
o o
que que
o o
povo povo
deve dever
ou ou
não não
fazer fazer
junto junto
c c
governadores governador
e e
Prefeitos prefeito
, ,
já já
tiraram tirar
nossa nosso
liberdade liberdade
de de
expressão expressão
, ,
já já
tiraram tirar
nossa nosso
liberdade liberdade
de de
ir ir
e e
vir vir
, ,
agora agora
tiraram tirar
nossa nosso
liberdade liberdade
de de
religião religião
, ,
o o
povo povo
está estar
muito muito
passivo passivo
. .
Assustador assustador
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
url url
