Cadê cadê
os o
artistas artista
sertanejos sertanejo
? ?
? ?
Tá estar
na em_o
hora hora
tds tds
se se
unirem unir
em em
defesa defesa
da de_o
democracia democracia
, ,
da de_o
liberdade liberdade
de de
expressão expressão
, ,
do de_o
voto voto
auditável auditável
e e
impresso imprimir
. .
E e
de de
impeachment impeachment
Alexandre alexandre
de de
Moraes moraes
e e
Barroso barroso
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
Dia dia
7 7
de de
setembro setembro
, ,
povo povo
nas em_o
ruas rua
do de_o
Brasil brasil
. .
url url
