VERGONHA vergonha
O o
SILÊNCIO silêncio
DA de_o
IMPRENSA imprensa
E e
DA de_o
OAB oab
! !
CADÊ cadê
A o
LUTA luta
CONTRA contra
A o
DITADURA ditadura
! !
CADÊ cadê
A o
DEFESA defesa
DO de_o
ESTADO estado
DEMOCRÁTICO democrático
DE de
DIREITO direito
! !
CADÊ cadê
A o
DEFESA defesa
DA de_o
LIBERDADE liberdade
DE de
IMPRESSA imprimir
! !
NÃO não
RECLAMEM reclamar
QUANDO quando
ESSE esse
ABUSO abuso
DE de
AUTORIDADE autoridade
CHEGAR chegar
ATÉ até
VCS vcs
! !
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#alexandredemoraesditador_h #alexandredemoraesditador_h
