@STF_oficial twitterhandle
" "
Sinistros sinistro
… …
" "
. .
" "
Vão ir
pro pro
inferno inferno
. .
Vocês você
não não
respeitam respeitar
as o
instituições instituição
, ,
não não
respeitam respeitar
os o
outros outro
poderes poder
, ,
a o
liberdade liberdade
de de
expressão expressão
, ,
a o
liberdade liberdade
de de
imprensa imprensa
, ,
o o
povo povo
cristão cristão
, ,
e e
tão tão
pouco pouco
o o
povo povo
brasileiro brasileiro
em em
geral geral
" "
. .
HASHTAG hashtag
#stfvergonhamundial_h #stfvergonhamundial_h
