Será ser
que que
o o
@alexandre twitterhandle
vai ir
conseguir conseguir
cela cela
pra pra
essa esse
galera galera
toda todo
? ?
? ?
HASHTAG hashtag
#foigigantesco_h #foigigantesco_h
HASHTAG hashtag
#supremoeopovo_h #supremoeopovo_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
HASHTAG hashtag
#respeiteaconstituicao_h #respeiteaconstituicao_h
HASHTAG hashtag
#todopoderemanadopovo_h #todopoderemanadopovo_h
HASHTAG hashtag
#votoimpressoauditavelcomcontagempublica_h #votoimpressoauditavelcomcontagempublica_h
url url
