Nós nós
os o
PATRIOTAS patriota
, ,
não não
iremos irar
ceder ceder
ao a_o
AUTORITARISMO autoritarismo
dos de_o
ministros ministro
do de_o
STF stf
. .
O o
verdadeiro verdadeiro
SUPREMO supremo
poder poder
da de_o
NAÇÃO nação
, ,
Vossas vossas
EXCELÊNCIAS excelência
, ,
o o
povo povo
brasileiro brasileiro
, ,
exige exigir
: :
obediência obediência
a o
CONSTITUIÇÃO constituição
FEDERAL federal
, ,
liberdade liberdade
de de
expressão expressão
e e
transparência transparência
nas em_o
eleições eleição
. .
HASHTAG hashtag
#supremoéopovo_h #supremoéopovo_h
url url
