Nem nem
nos em_o
tempos tempo
de de
governo governo
militar militar
, ,
me eu
limitando limitar
aos a_o
anos ano
finais final
, ,
vi ver
tanta tanto
censura censura
explícita explícito
. .
Eu eu
vivi viver
aqueles aquele
tempos tempo
, ,
não não
li ler
num em_um
panfleto panfleto
qualquer qualquer
. .
É ser
para para
isso isso
que que
lutamos lutar
pelo por_o
voto voto
direto direto
e e
a o
liberdade liberdade
de de
expressão expressão
? ?
Voltamos voltar
aos a_o
tempos tempo
de de
censura censura
e e
caça caça
as o
' '
bruxas bruxo
' '
? ?
HASHTAG hashtag
#stfvergonha_h #stfvergonha_h
