@o_antagonista twitterhandle
Sério sério
? ?
? ?
? ?
? ?
face_screaming_in_fear_e face_screaming_in_fear_e
face_screaming_in_fear_e face_screaming_in_fear_e
PAREM parar
DE de
MENTIR mentir
HASHTAG hashtag
#antagonistalixo_h #antagonistalixo_h
thumbs_down_medium-light_skin_tone_e thumbs_down_medium-light_skin_tone_e
thumbs_down_medium-light_skin_tone_e thumbs_down_medium-light_skin_tone_e
thumbs_down_medium-light_skin_tone_e thumbs_down_medium-light_skin_tone_e
HASHTAG hashtag
#eunaovoteinostf_h #eunaovoteinostf_h
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
HASHTAG hashtag
#stfcrasheddemocracyinbrazil_h #stfcrasheddemocracyinbrazil_h
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#diadaindependencia_h #diadaindependencia_h
HASHTAG hashtag
#liberdadedeexpressao_h #liberdadedeexpressao_h
chega chegar
de de
HASHTAG hashtag
#ditaduradatoga_h #ditaduradatoga_h
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
face_with_raised_eyebrow_e face_with_raised_eyebrow_e
