Você você
petista petista
ou ou
isentão isentão
, ,
agradeça agradecer
ao a_o
Bolsonaro bolsonaro
por por
garantir garantir
seu seu
direito direito
de de
falar falar
M m
… …
, ,
até até
mesmo mesmo
para para
aqueles aquele
que que
desejam desejar
sua seu
morte morte
. .
Tá estar
aí aí
o o
" "
ditador ditador
" "
protegendo proteger
a o
liberdade liberdade
de de
expressão expressão
! !
HASHTAG hashtag
#stfcorrupto_h #stfcorrupto_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#stfinimigodobrasil_h #stfinimigodobrasil_h
