Hoje hoje
eu eu
gostaria gostar
de de
saber saber
onde onde
estão estar
os o
@titasoficial twitterhandle
@os_paralamas twitterhandle
@andreaskisser twitterhandle
@sepulturacombr twitterhandle
que que
cantavam cantar
" "
Polícia polícia
para para
quem quem
precisa precisar
" "
. .
Não não
vi ver
um um
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
, ,
a o
final final
é ser
a o
galera galera
do de_o
Rock rock
na em_o
veia veia
, ,
liberdade liberdade
de de
expressão expressão
. .
É ser
do de_o
o o
povo povo
ou ou
Rouanet rouanet
da de_o
elite elite
? ?
url url
