@monicabergamo twitterhandle
A o
jornalista jornalista
militante militante
amiga amiga
do de_o
Lula lula
, ,
que que
defendeu defender
a o
regulamentação regulamentação
da de_o
imprensa imprensa
. .
A o
esquerda esquerda
é ser
a a
favor favor
da de_o
censura censura
e e
a o
direita direita
defende defender
a o
liberdade liberdade
de de
expressão expressão
. .
HASHTAG hashtag
#stfrompeuademocracia_h #stfrompeuademocracia_h
HASHTAG hashtag
#dia07vaisergigante_h #dia07vaisergigante_h
HASHTAG hashtag
#rachadinhadorandolfe_h #rachadinhadorandolfe_h
