Gostaria gostar
de de
saber saber
onde onde
na em_o
Constituição constituição
, ,
no em_o
código código
penal penal
ou ou
em em
qualquer qualquer
regimento regimento
de de
congresso congresso
ou ou
judiciário judiciário
há haver
um um
crime crime
cuja cujo
pena pena
é ser
cercear cercear
a o
liberdade liberdade
de de
expressão expressão
de de
alguém alguém
? ?
HASHTAG hashtag
#stfvergonhanacional_h #stfvergonhanacional_h
HASHTAG hashtag
#stforganizacaocriminosa_h #stforganizacaocriminosa_h
HASHTAG hashtag
#ditaduradetoga_h #ditaduradetoga_h
HASHTAG hashtag
#ditaduradostf_h #ditaduradostf_h
url url
